M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
24576,4608,1024,False,torch.bfloat16,torch.bfloat16,False,False
32768,4608,1024,False,torch.bfloat16,torch.bfloat16,False,False
49152,4608,1024,False,torch.bfloat16,torch.bfloat16,False,False
65536,4608,1024,False,torch.bfloat16,torch.bfloat16,False,False
67268,4608,1024,False,torch.bfloat16,torch.bfloat16,False,False
1,6288,7168,False,torch.bfloat16,torch.bfloat16,False,False
2,6288,7168,False,torch.bfloat16,torch.bfloat16,False,False
4,6288,7168,False,torch.bfloat16,torch.bfloat16,False,False
8,6288,7168,False,torch.bfloat16,torch.bfloat16,False,False
16,6288,7168,False,torch.bfloat16,torch.bfloat16,False,False
24,6288,7168,False,torch.bfloat16,torch.bfloat16,False,False
32,6288,7168,False,torch.bfloat16,torch.bfloat16,False,False
40,6288,7168,False,torch.bfloat16,torch.bfloat16,False,False
48,6288,7168,False,torch.bfloat16,torch.bfloat16,False,False
56,6288,7168,False,torch.bfloat16,torch.bfloat16,False,False
64,6288,7168,False,torch.bfloat16,torch.bfloat16,False,False
96,6288,7168,False,torch.bfloat16,torch.bfloat16,False,False
128,6288,7168,False,torch.bfloat16,torch.bfloat16,False,False
256,6288,7168,False,torch.bfloat16,torch.bfloat16,False,False
512,6288,7168,False,torch.bfloat16,torch.bfloat16,False,False
1024,6288,7168,False,torch.bfloat16,torch.bfloat16,False,False
2048,6288,7168,False,torch.bfloat16,torch.bfloat16,False,False
4096,6288,7168,False,torch.bfloat16,torch.bfloat16,False,False
8192,6288,7168,False,torch.bfloat16,torch.bfloat16,False,False
1,7168,768,False,torch.bfloat16,torch.bfloat16,False,False
2,7168,768,False,torch.bfloat16,torch.bfloat16,False,False
4,7168,768,False,torch.bfloat16,torch.bfloat16,False,False
8,7168,768,False,torch.bfloat16,torch.bfloat16,False,False
16,7168,768,False,torch.bfloat16,torch.bfloat16,False,False
24,7168,768,False,torch.bfloat16,torch.bfloat16,False,False
32,7168,768,False,torch.bfloat16,torch.bfloat16,False,False
40,7168,768,False,torch.bfloat16,torch.bfloat16,False,False
48,7168,768,False,torch.bfloat16,torch.bfloat16,False,False
56,7168,768,False,torch.bfloat16,torch.bfloat16,False,False
64,7168,768,False,torch.bfloat16,torch.bfloat16,False,False
96,7168,768,False,torch.bfloat16,torch.bfloat16,False,False
128,7168,768,False,torch.bfloat16,torch.bfloat16,False,False
256,7168,768,False,torch.bfloat16,torch.bfloat16,False,False
512,7168,768,False,torch.bfloat16,torch.bfloat16,False,False
1024,7168,768,False,torch.bfloat16,torch.bfloat16,False,False
2048,7168,768,False,torch.bfloat16,torch.bfloat16,False,False
4096,7168,768,False,torch.bfloat16,torch.bfloat16,False,False
8192,7168,768,False,torch.bfloat16,torch.bfloat16,False,False
1,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
2,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
4,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
8,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
16,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
24,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
32,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
40,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
48,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
56,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
64,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
96,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
128,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
256,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
512,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
1024,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
2048,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
4096,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
8192,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
1,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False
2,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False
4,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False
8,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False
16,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False
24,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False
32,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False
40,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False
48,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False
56,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False
64,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False
96,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False
128,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False
256,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False
512,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False
1024,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False
2048,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False
4096,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False
8192,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False
1,7168,4096,False,torch.bfloat16,torch.bfloat16,False,False
2,7168,4096,False,torch.bfloat16,torch.bfloat16,False,False
4,7168,4096,False,torch.bfloat16,torch.bfloat16,False,False
8,7168,4096,False,torch.bfloat16,torch.bfloat16,False,False
16,7168,4096,False,torch.bfloat16,torch.bfloat16,False,False
24,7168,4096,False,torch.bfloat16,torch.bfloat16,False,False
32,7168,4096,False,torch.bfloat16,torch.bfloat16,False,False
40,7168,4096,False,torch.bfloat16,torch.bfloat16,False,False
48,7168,4096,False,torch.bfloat16,torch.bfloat16,False,False
56,7168,4096,False,torch.bfloat16,torch.bfloat16,False,False
64,7168,4096,False,torch.bfloat16,torch.bfloat16,False,False
96,7168,4096,False,torch.bfloat16,torch.bfloat16,False,False
128,7168,4096,False,torch.bfloat16,torch.bfloat16,False,False
256,7168,4096,False,torch.bfloat16,torch.bfloat16,False,False
512,7168,4096,False,torch.bfloat16,torch.bfloat16,False,False
1024,7168,4096,False,torch.bfloat16,torch.bfloat16,False,False
2048,7168,4096,False,torch.bfloat16,torch.bfloat16,False,False
4096,7168,4096,False,torch.bfloat16,torch.bfloat16,False,False
8192,7168,4096,False,torch.bfloat16,torch.bfloat16,False,False
16384,7168,4096,False,torch.bfloat16,torch.bfloat16,False,False
