M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
1540,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1541,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1542,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1543,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1544,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1545,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1546,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1547,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1548,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
1733,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2003,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2131,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2149,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2328,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2420,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2563,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2593,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2625,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2633,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2641,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2645,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2682,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2711,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2723,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2733,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2738,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2741,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2745,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2747,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2761,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2765,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2773,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2778,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2810,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2814,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2825,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2826,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2852,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2855,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2856,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2867,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2870,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2873,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2874,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2877,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2883,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2898,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2921,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2926,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2930,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2934,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2937,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
2938,896,7168,False,torch.bfloat16,torch.bfloat16,False,False
